Country,Total Deaths,Active Cases,"Serious, Critical",population
Laos,0,4,0,7341445
Saint Kitts and Nevis,0,2,0,53435
Greenland,0,0,0,56832
Vatican City,0,12,0,802
Saint Pierre Miquelon,0,8,0,5776
Montserrat,10,6,0,4994
Anguilla,0,2,0,15087
Solomon Islands,0,4,0,697334
Western Sahara,10,1,0,606449
MS Zaandam,20,0,0,76804
Wallis and Futuna,0,4,0,11114
Marshall Islands,0,0,0,5944
Samoa,0,1,0,19924
Micronesia,0,0,0,115777
Vanuatu,0,0,0,311601
